longitude,latitude,service_type,name,address_line_1,address_line_2,community,postal_code,operating_time,wait_time,,,
-75.65128182,45.40091045,AIDS Bureau,Children's Hospital of Eastern Ontario, Division of Infectious Diseases, Room 3002,401 Smyth Road,,24hr,10,Ottawa,K1W1C2,
-78.316608,44.32481595,Children's Treatment Centre,Five Counties Children's Centre,872 Dutton Road,,Peterborough,K9H7G1,08:30-17:00,40,,,
-78.80733922,43.89179095,Children's Treatment Centre,Grandview Children's Centre,600 Townline Road,,Oshawa,L1H7K6,08:00-19:00,60,,,
-83.06784872,42.28292987,Children's Treatment Centre,John Mcgivney Children's Centre,3945 Matchette Road,,Windsor,N9C4C2,9:00-17:00,200,,,
-82.36493106,43.00120563,Children's Treatment Centre,(Sarnia & District Ctc) Pathways Health Centre for Children,1240 Murphy Road,,Sarnia,N7G2Y6,8:00-16:30,34,,,
-82.21037686,42.40302383,Children's Treatment Centre,Children's Treatment Centre of Chatham Kent,355 Lark Street,,Chatham-Kent,N7L5B2,8:00-16:30,54,,,
-81.31656053,42.95443717,Children's Treatment Centre,Thames Valley Children's Centre,779 Baseline Road,,London,N6C5Y6,8:30-16:30,100,,,
-80.27616282,43.12943645,Children's Treatment Centre,Lansdowne Children's Centre,39 Mount Pleasant Street,,Brantford,N3T1S7,8:00-16:30,22,,,
-79.24344169,43.1204819,Children's Treatment Centre,Niagara Children's Centre,576 Glenridge Avenue,,St. Catharines,L2T4C2,08:30-1700,5,,,
-79.69441845,44.4057437,Children's Treatment Centre,Children's Treatment Network of Simcoe York,Ferris Lane,Common Roof,165,Barrie,9:00-17:00,40,L4M2Y1,,
-75.65128182,45.40091045,Children's Treatment Centre,Childrens Hospital of Eastern Ontario-Ottawa Children's Treatment Centre,401 Smyth Road,,Ottawa,K1H8L1,9:00-17:00,40,,,
-79.38885119,43.65656029,Hospital - Corporation,The Hospital For Sick Children,555 University Avenue,,Toronto,M5G1X8,9:00-17:00,100,,,
-79.38773439,43.65709569,Laboratory - Hospital,The Hospital For Sick Children,555 University Avenue,,Toronto,M5G1X8,8:00-16:30,200,,,
